KNU_ID,KNOT_ID,KNU_Type,Title,LC_Phase,Status
KNU-BWB-10-001,KNOT-BWB-10-00-00-001,ANALYSIS,Planform parametric sweep CFD,LC05,PLANNED
KNU-BWB-10-002,KNOT-BWB-10-00-00-001,ANALYSIS,Planform MDO (span-sweep-twist),LC04,PLANNED
KNU-BWB-10-003,KNOT-BWB-10-00-00-001,PUB,Planform geometry DM S1000D,LC08,PLANNED
KNU-BWB-20-001,KNOT-BWB-20-10-00-001,ANALYSIS,Centerbody panel concept FEA,LC05,PLANNED
KNU-BWB-20-002,KNOT-BWB-20-10-00-001,TEST,Centerbody panel coupon fatigue test,LC06,PLANNED
KNU-BWB-20-003,KNOT-BWB-20-10-00-001,PUB,Centerbody structure DM S1000D,LC08,PLANNED
KNU-BWB-30-001,KNOT-BWB-30-10-00-001,ANALYSIS,Wing-body junction FEA load transfer,LC05,PLANNED
KNU-BWB-30-002,KNOT-BWB-30-10-00-001,TEST,Junction sub-component static test,LC06,PLANNED
KNU-BWB-40-001,KNOT-BWB-40-10-00-001,ANALYSIS,Non-cylindrical shell fatigue FEA,LC05,PLANNED
KNU-BWB-40-002,KNOT-BWB-40-10-00-001,TEST,Pressure cabin segment fatigue test,LC06,PLANNED
KNU-BWB-40-003,KNOT-BWB-40-10-00-001,PUB,Pressure vessel topology DM S1000D,LC08,PLANNED
KNU-BWB-50-001,KNOT-BWB-50-10-00-001,ANALYSIS,Elevon hinge moment & deflection map,LC05,PLANNED
KNU-BWB-50-002,KNOT-BWB-50-10-00-001,ANALYSIS,Control allocation simulation 6-DOF,LC05,PLANNED
KNU-BWB-50-003,KNOT-BWB-50-10-00-001,PUB,Control surface allocation DM S1000D,LC08,PLANNED
KNU-BWB-60-001,KNOT-BWB-60-10-00-001,ANALYSIS,BLI fan-face distortion CFD,LC05,PLANNED
KNU-BWB-60-002,KNOT-BWB-60-10-00-001,TEST,BLI wind-tunnel ingestion test,LC06,PLANNED
KNU-BWB-60-003,KNOT-BWB-60-10-00-001,PUB,BLI propulsion integration DM S1000D,LC08,PLANNED
KNU-BWB-70-001,KNOT-BWB-70-10-00-001,ANALYSIS,Egress path agent-based simulation,LC05,PLANNED
KNU-BWB-70-002,KNOT-BWB-70-10-00-001,ANALYSIS,Cabin cross-section geometry study,LC04,PLANNED
KNU-BWB-70-003,KNOT-BWB-70-10-00-001,PUB,Cabin layout & egress DM S1000D,LC08,PLANNED
KNU-BWB-80-001,KNOT-BWB-80-10-00-001,ANALYSIS,Body-freedom flutter eigenvalue analysis,LC05,PLANNED
KNU-BWB-80-002,KNOT-BWB-80-10-00-001,TEST,Aeroelastic GVT model validation,LC06,PLANNED
KNU-BWB-80-003,KNOT-BWB-80-10-00-001,PUB,Aeroelastics & loads DM S1000D,LC08,PLANNED
